Description,Co-ordinates
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8177537274178, 144.9668716689)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.7855772617003, 144.953157128025)"
Drinking Fountain - Concrete Drinking Fountain,"(-37.7773560967073, 144.953272310843)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8131969884489, 144.973744691902)"
Drinking Fountain - Drinking Fountain - Monument Style Type 5,"(-37.7852831257006, 144.966188775083)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8071156398032, 144.955931644356)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8063368355959, 144.959074480367)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.7814416740215, 144.955954729881)"
Drinking Fountain - Wooden Slat Supports,"(-37.7886861200393, 144.962422063587)"
Drinking Fountain - Treated Timber Drinking Fountain - Flagstaff Gardens,"(-37.8093127088487, 144.954546176127)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.814029433262, 144.963685063425)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8109871379508, 144.990975495319)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8154477195646, 144.967055010755)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,"(-37.8071948357995, 144.972648218328)"
Drinking Fountain - Treated Timber Drinking Fountain - Ievers Reserve,"(-37.796867279491, 144.952046464975)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8167897469, 144.969336969341)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8199965311974, 144.959726717503)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.8142641472479, 144.978651442452)"
Drinking Fountain - Treated Timber Drinking Fountain - Bayswater Road Park,"(-37.7936582061843, 144.923526146639)"
Drinking Fountain - Treated Timber Drinking Fountain - Alexandra Park,"(-37.8251430898605, 144.978301001999)"
Drinking Fountain - Treated Timber Drinking Fountain - Clayton Reserve,"(-37.7968861153921, 144.938864246732)"
